ParName   Value   Gradient
theta[3]      8.76165   0.00230061
theta[4]      2.03421  -0.00175197
theta[6]          0.3 -3.20491e-007
theta[10]    -0.396208 1.58834e-005
theta[11]      0.39583 2.20963e-005
theta[12]       1.3382 6.02025e-006
theta[13]      1.38899 -3.00413e-005
theta[14]     0.407147 -3.43308e-005
theta[15]    -0.717111 -2.23542e-005
theta[16]     -1.07204 -1.40538e-005
Grwth[1]      11.9532 -2.39888e-005
Grwth[4]      119.189 1.64488e-005
Grwth[5]     0.121248 -5.96987e-005
log_slx_pars[1]      5.07426 2.03443e-006
log_slx_pars[2]    -0.751872 -5.49879e-007
log_slx_pars[3]     -2.30259 -1.05417e-005
log_slx_pars[4]     -1.27273 -8.4244e-006
log_slx_pars[5]      4.69664  0.000163409
log_slx_pars[6]      2.77087 -1.47587e-005
log_slx_pars[7]      3.58731 -2.23747e-006
log_slx_pars[8]    -0.863492 -3.04457e-007
log_slx_pars[9]      3.99104 -5.42025e-006
log_slx_pars[10]    -0.169554 -4.84628e-006
log_slx_pars[11]      4.55912 -0.000556784
log_slx_pars[12] 2.69586e-007 -8.42772e-007
log_slx_pars[13]       4.6524  0.000278588
log_slx_pars[14]     0.825065 -1.02122e-005
log_fbar[1]     -5.20417   0.00127262
log_fbar[2]     -1.60279 -0.000929706
log_fdev[1](1)     0.165207  0.000137959
log_fdev[1](2)     -3.47277  0.000180057
log_fdev[1](3)     -3.71418  0.000249807
log_fdev[1](4)     -3.17932  0.000290094
log_fdev[1](5)     -1.78003  0.000299748
log_fdev[1](6)     0.250349  0.000236406
log_fdev[1](7)     0.298475  0.000166798
log_fdev[1](8)    0.0358578  0.000102349
log_fdev[1](9)     0.122744 -2.35694e-006
log_fdev[1](10)    -0.174465 -2.79774e-005
log_fdev[1](11)    -0.894551 -9.17249e-005
log_fdev[1](12)    -0.107095 -3.52853e-005
log_fdev[1](13)     0.861224 -2.10342e-005
log_fdev[1](14)     0.546555 -9.7013e-006
log_fdev[1](15)      1.34939 -0.000190043
log_fdev[1](16)    -0.536231 -0.000154251
log_fdev[1](17)     0.924102 -0.000105208
log_fdev[1](18)      1.47411 -7.56719e-005
log_fdev[1](19)     0.342039 7.23805e-005
log_fdev[1](20)     -1.02714  0.000211844
log_fdev[1](21)      1.20602  0.000275868
log_fdev[1](22)      0.85096  0.000303254
log_fdev[1](23)     0.694795  0.000259099
log_fdev[1](24)     -1.18484  0.000235084
log_fdev[1](25)     0.230022  0.000234645
log_fdev[1](26)     0.868217   0.00022791
log_fdev[1](27)     -1.26056  0.000105821
log_fdev[1](28)    0.0426432 -5.18483e-005
log_fdev[1](29)     -1.49473 -0.000277445
log_fdev[1](30)     0.886244 -0.000374896
log_fdev[1](31)     0.838366 -0.000380311
log_fdev[1](32)     0.192721 -0.000284224
log_fdev[1](33)      0.37725 -0.000189723
log_fdev[1](34)      0.32522 -0.000131005
log_fdev[1](35)     0.928492 -5.95138e-005
log_fdev[1](36)      1.72986 2.04629e-005
log_fdev[1](37)     0.850799  0.000116602
log_fdev[1](38)      1.71433    0.0001041
log_fdev[1](39)      1.52815 7.35777e-005
log_fdev[1](40)      1.64269 5.83107e-005
log_fdev[1](41)      1.02234 6.25545e-005
log_fdev[1](42)    -0.543373 5.51854e-005
log_fdev[1](43)     -2.92988 2.59375e-005
log_fdev[2](1)    -0.788053  0.000494547
log_fdev[2](2)     0.565363  0.000336834
log_fdev[2](3)      1.41966  0.000134051
log_fdev[2](4)     0.840137   0.00032144
log_fdev[2](5)      1.30622  0.000294815
log_fdev[2](6)    -0.393815  0.000604646
log_fdev[2](7)     0.204463  0.000539706
log_fdev[2](8)     0.183976  0.000564891
log_fdev[2](9)     0.196225  0.000559816
log_fdev[2](10)     0.303148  0.000486603
log_fdev[2](11)    -0.132546  0.000438172
log_fdev[2](12)    -0.447608  0.000373566
log_fdev[2](13)    -0.408276  0.000348316
log_fdev[2](14)    -0.650676  0.000391432
log_fdev[2](15)     0.850886  0.000795723
log_fdev[2](16)     -1.20466  0.000102721
log_fdev[2](17)     0.423297  0.000213675
log_fdev[2](18)     0.566057  0.000303975
log_fdev[2](19)     0.839455  0.000293278
log_fdev[2](20)     0.777851  0.000221209
log_fdev[2](21)    0.0405474  0.000274389
log_fdev[2](22)     -1.16421  0.000473646
log_fdev[2](23)     -1.66483  0.000522019
log_fdev[2](24)     0.671407  0.000417862
log_fdev[2](25)     0.534809  0.000466744
log_fdev[2](26)     0.456958  0.000520688
log_fdev[2](27)      0.58449  0.000527155
log_fdev[2](28)     0.701814  0.000568741
log_fdev[2](29)     0.687843  0.000616518
log_fdev[2](30)     0.739864  0.000475561
log_fdev[2](31)     0.420523  0.000351902
log_fdev[2](32)     0.657197  0.000307361
log_fdev[2](33)     0.549402  0.000214346
log_fdev[2](34)     0.421883  0.000198834
log_fdev[2](35)     0.285619    0.0002746
log_fdev[2](36)     0.515779  0.000306053
log_fdev[2](37)     0.491321  0.000293933
log_fdev[2](38)     0.521385   0.00034858
log_fdev[2](39)     0.423493  0.000407607
log_fdev[2](40)     0.223882   0.00043734
log_fdev[2](41)     0.251089  0.000417462
log_fdev[2](42)  -0.00328809  0.000398753
log_fdev[2](43)     -1.19477    0.0004068
log_fdev[2](44)     -9.60331  0.000211169
log_foff[1]            0            0
log_foff[2]            0            0
rec_dev_est(1976)      5.27472  0.000333567
rec_dev_est(1977)      5.56924  0.000524967
rec_dev_est(1978)      5.09845  0.000299129
rec_dev_est(1979)      5.75946  0.000318287
rec_dev_est(1980)      5.07086   6.305e-005
rec_dev_est(1981)      5.63313 -7.89348e-005
rec_dev_est(1982)      4.93017 -0.000133452
rec_dev_est(1983)       5.1318 -0.000220648
rec_dev_est(1984)      5.18727 -0.000277549
rec_dev_est(1985)      4.79759  -0.00024158
rec_dev_est(1986)      4.56225 -0.000223585
rec_dev_est(1987)      5.01389 -0.000382748
rec_dev_est(1988)      4.45932 -0.000205193
rec_dev_est(1989)      4.34392 -0.000164182
rec_dev_est(1990)       4.2247 -5.54389e-005
rec_dev_est(1991)      3.63108 3.06887e-005
rec_dev_est(1992)      3.95194  0.000131219
rec_dev_est(1993)      4.19241  0.000304239
rec_dev_est(1994)      4.01413  0.000228802
rec_dev_est(1995)      5.42835  0.000876301
rec_dev_est(1996)      4.62387  0.000337366
rec_dev_est(1997)      4.50086   0.00023223
rec_dev_est(1998)      4.07796  0.000109983
rec_dev_est(1999)      4.94478 9.80046e-005
rec_dev_est(2000)      5.66394 -0.000256694
rec_dev_est(2001)      4.92704 -0.000321034
rec_dev_est(2002)      4.87293 -0.000404797
rec_dev_est(2003)      5.11446 -0.000587687
rec_dev_est(2004)      5.21083 -0.000543974
rec_dev_est(2005)      5.76441 -0.000774063
rec_dev_est(2006)      5.53476 -0.000420652
rec_dev_est(2007)      4.79193 -0.000132371
rec_dev_est(2008)       4.6385 -6.93544e-005
